beer_name,brewery_name,beer_style,review_taste,beer_abv
Anastasia's Exile Stout,Ascot Ales,English Stout,4,5
Anastasia's Imperial Stout,Ascot Ales,Russian Imperial Stout,3.75,8
Ancho Chili Bourbon County Brand Stout,Goose Island Beer Co.,American Double / Imperial Stout,3.8,13
Ancho Chili Dutch Double Chocolate Porter,Right Brain Brewery,American Porter,4.4,4.7
Anchor,Midnight Sun Brewing Co.,Witbier,3.92,6.25
Anchor Beer (Red Crown),Hainan Asia Pacific Brewery,American Adjunct Lager,2,4
Anchor Bock Beer,Anchor Brewing Company,Bock,3.802277433,5.5
Anchor Humming Ale,Anchor Brewing Company,American Pale Ale (APA),3.787878788,5.9
Anchor Liberty Ale,Anchor Brewing Company,American Pale Ale (APA),4.017755682,6
Anchor Light,Hainan Asia Pacific Brewery,Light Lager,2,4.4
Anchor Old Foghorn,Anchor Brewing Company,English Barleywine,3.967133621,8.2
Anchor Our Barrel Ale,Anchor Brewing Company,American Strong Ale,4.366666667,8.02
Anchor Pilsener,Asia Pacific Breweries Ltd.,German Pilsener,2.363636364,3.7
Anchor Porter,Anchor Brewing Company,American Porter,4.166540785,5.6
Anchor Small Beer,Anchor Brewing Company,English Bitter,2.97,3.3
Anchor Steam Beer,Anchor Brewing Company,California Common / Steam Beer,3.888663968,4.9
Anchor Summer Beer,Anchor Brewing Company,American Pale Wheat Ale,3.268642447,4.6
Anchor's Away Steam Beer,Lucky Labrador Brewing Company,California Common / Steam Beer,3,5.5
Anchorage Vacation,21st Amendment Brewery,Belgian IPA,4.125,9.3
Ancient Abercrombie Porter,Gallaghers' U-Brew,American Porter,2.5,6
Ancient Aztalan Brown Ale,Tyranena Brewing Company,English Brown Ale,3.821428571,6
Ancient Brown Ale,Phillips Brewing Company,American Brown Ale,4,5
Ancient Days Honey Blonde Ale,Heinzelmännchen Brewery,American Blonde Ale,3.3,5
Ancient Wheat,Fossil Fuels Brewing Company,American Pale Wheat Ale,4.25,4.2
Andechs Spezial Hell Lager,Brick Brewing Co. / Red Baron Lounge,Munich Helles Lager,3.333333333,5.5
Andechs Winter Bier,Klosterbrauerei Andechs,Bock,4,5.9
Andechser  Dunkles Weissbier,Klosterbrauerei Andechs,Dunkelweizen,3.787878788,5
Andechser Bergbock Hell,Klosterbrauerei Andechs,Maibock / Helles Bock,4.02,6.9
Andechser Doppelbock Dunkel,Klosterbrauerei Andechs,Doppelbock,4.43772242,7.1
Andechser Dunkel,Klosterbrauerei Andechs,Munich Dunkel Lager,3.911764706,4.8
Andechser Dunkel Naturtrüb Jubiläumsbier,Klosterbrauerei Andechs,Keller Bier / Zwickel Bier,4.3,5.9
Andechser Hell,Klosterbrauerei Andechs,Munich Helles Lager,3.619047619,4.8
Andechser Pale Ale,Boscos Restaurant & Brewing Co. - Nashville,American Pale Ale (APA),4,5.5
Andechser Spezial Hell,Klosterbrauerei Andechs,Munich Helles Lager,3.864583333,5.9
Andechser Weissbier Hefetrüb,Klosterbrauerei Andechs,Hefeweizen,4.161764706,5.5
Andelot Cuvee Angelique,De Proefbrouwerij (bvba Andelot),Dubbel,3.524390244,7
Andelot Cuvee Diabolique,De Proefbrouwerij (bvba Andelot),Tripel,3.963235294,8.5
Andelot Cuvee Euphorique,De Proefbrouwerij (bvba Andelot),Belgian Pale Ale,3.757142857,6.5
Andelot Cuvee Lunatique,De Proefbrouwerij (bvba Andelot),Tripel,3.774193548,8.5
Andelot Cuvee Mystique,De Proefbrouwerij (bvba Andelot),Belgian Strong Dark Ale,3.825396825,8.5
Anders Dubbel IPA,Eskilstuna Ölkultur,American Double / Imperial IPA,2.75,8.7
Anders Göranssons Bästa Rököl,Närke Kulturbryggeri AB,Smoked Beer,4.25,6.1
Anderson's Kettle Bottom Brown Ale,Morgantown Brewing Company,American Brown Ale,3.75,4.7
"Anderssons 3,5%",Åbro Bryggeri,Euro Pale Lager,2,3.5
"Anderssons 5,2%",Åbro Bryggeri,Euro Pale Lager,2,5.2
"Anderssons Extra 7,2%",Åbro Bryggeri,Euro Strong Lager,1.5,7.2
Andes,Cervecería y Maltería Quilmes / Grupo Bemberg,American Adjunct Lager,2.5,4.9
Andes Porter,Cervecería y Maltería Quilmes / Grupo Bemberg,American Porter,3.5,5.6
Andhrímnir Barley Wine,Nøgne Ø - Det Kompromissløse Bryggeri A/S,American Barleywine,4.026315789,10
Andorfer Weizen,Weissbierbrauerei Andorfer,Hefeweizen,2.25,4.8
Andre,Brouwerij De Prael,Maibock / Helles Bock,3.833333333,6.6
Andreas Premium,Dortmunder Actien Brauerei / DAB,German Pilsener,2.5,4.7
Andy's Ale,Minneapolis Town Hall Brewery,American Pale Ale (APA),4.75,6.6
Andygator,Abita Brewing Co.,Maibock / Helles Bock,3.453736655,8
Aneytown Pale Ale,Nynäshamns Angbryggeri,English Pale Ale,4,4.5
Ange D'Or,Rock Bottom Restaurant & Brewery,Belgian Pale Ale,4,6
Angel,Brouwerij De Smedt / Brouwerij Affligem,Belgian Strong Pale Ale,3.25,8.5
Angel,Wylam Brewery,English Bitter,4,4.3
Angel Ale,Federation Brewery Ltd,English Pale Ale,3.411764706,4.7
Angel City Abbey,Angel City Brewing,Dubbel,2.840909091,8
Angel City Belgian IPA,Angel City Brewing,Belgian IPA,3.214285714,6.8
Angel City IPA,Angel City Brewing,American IPA,2.522727273,6.8
Angel Creek Amber Ale,Ruby Mountain Brewing,American Amber / Red Ale,3.547619048,5
Angel Inn Red,Great Lakes Brewery,American Amber / Red Lager,3.5,5
Angel Inn Red,Niagara Brewing Company,American Amber / Red Ale,3.666666667,5
Angel's Abbey,Minneapolis Town Hall Brewery,Dubbel,3.666666667,7
Angel's Ale,Skookum Brewery,English Dark Mild Ale,3.5,4.3
Angel's Food,Seabright Brewery,Wheatwine,2.5,11
Angel's Nectar,Baying Hound Aleworks,American Pale Wheat Ale,4,7
Angel's Share,Quigley's Pint & Plate,English Stout,4.75,13
Angel's Share #1 Ale,Galatea Spirits,Extra Special / Strong Bitter (ESB),2.5,5.2
Angel's Share #8 Hornig,Galatea Spirits,Maibock / Helles Bock,4,6.9
Angeliah,Brewery Vivant,American Wild Ale,4.5,8.5
Angelicus,Nodding Head Brewery and Restaurant,Belgian IPA,5,6.25
Angelino Pale Ale,SoCal Beer Company,American Pale Ale (APA),3.5,6.4
Angelus,Brasserie D'Annoeulin,Bière de Garde,3.818181818,7
Angelus De Mars,Brasserie D'Annoeulin,Saison / Farmhouse Ale,4,5.5
Anger,Greenbush Brewing Company,American Black Ale,4.4375,7.6
Anger Management,The Brew Keeper,American Double / Imperial IPA,3.7,10.5
Anger Management Belgian Wheat,Angry Hank's Microbrewery,Witbier,3,4
Angerwirts Weizen,Pyraser Bier GmbH & Co. KG,Hefeweizen,3,5.2
Angie's Carjack Ale,The Funky Buddha Lounge & Brewery,American Amber / Red Ale,4,5.4
Angkor Beer,Cambrew / Angkor Brewery,American Adjunct Lager,2.269230769,5.5
Angkor Extra Stout,Cambrew / Angkor Brewery,Foreign / Export Stout,2.5,8
Angler's Amber,Pelican Pub & Brewery,American Amber / Red Ale,4,6.7
Angler's Pale Ale,Uinta Brewing Company,American Pale Ale (APA),3.576612903,5.8
Anglers Ale,Island Cafe & Brew Pub,American Pale Ale (APA),3,6
Anglo-American Style Brown Ale,Black Market Brewing Co.,American Brown Ale,3.6,5.5
Angoulême 2007,Brasserie Artisanale Océane,Belgian Pale Ale,3.5,6
Angrier Birds Imperial Belgian Rye IPA,Haymarket Pub & Brewery,Belgian IPA,3.75,10
Angry Amber Ale,Angry Cedar Brewing Company,American Amber / Red Ale,1.75,4.5
Angry Angel German Pilsner,Big Boss Brewing,German Pilsener,3.625,5.3
Angry Angel Kolsch,Big Boss Brewing,Kölsch,3.553571429,4.5
Angry Birds Belgian Rye IPA,Haymarket Pub & Brewery,Belgian IPA,3.7,7.5
Angry Chewbacca,John Harvard's Brewery & Ale House,American IPA,4,6.4
Angry Chicken,Cortland Beer Company,American IPA,3.5,7.9
Angry Clown Nut Brown Ale,Deep Creek Brewing Company,American Brown Ale,2.5,4
Angry Emmitt Maibock,Browning's Brewery,Maibock / Helles Bock,3.5,6.5
Angry Goat,Rahr & Sons Brewing Company,Weizenbock,4,8
Angry Gorilla,Cornerstone Brewing Company,Hefeweizen,3.5,5
Angry Irish Ale,Rooney's Irish Pub,American Amber / Red Ale,3,9
Angry Mash Oatmeal Stout,COAST Brewing Company,Oatmeal Stout,4.230769231,9
Angry Mike's Stoudt Creek,Flossmoor Station Restaurant & Brewery,Fruit / Vegetable Beer,3.666666667,7
Angry Monkey Barleywine,Silver Gulch Brewing and Bottling Co.,American Barleywine,3.75,14
Angry Orphan Oatmeal Stout,Black Forest Brew Haus & Grill,Oatmeal Stout,4.25,5.1
Angry Pete's Palisade,Crossroads Brewing Company,American Pale Ale (APA),4,5.5
Angry Planet Organic Pale Ale,Flat Earth Brewing Company,American Pale Ale (APA),3.683333333,6
Angry Scotch Ale,Russell Brewing Company,Scotch Ale / Wee Heavy,4.05,6.5
Angry Sun,Hollister Brewing Co.,American Double / Imperial Stout,4.5,8.5
Angry Yank IPA,Rooster's Brewing Company Ltd.,Extra Special / Strong Bitter (ESB),4,5
Angst Alt Lager,Firehouse Brewing Co.,American Amber / Red Lager,3.5,5
Angus IP«AAA»,La Succursale Brasserie Artisanale,American IPA,4,7
Angus MacDougal's Amber,Cascade Lakes Brewing Co.,American Amber / Red Ale,3.833333333,5.4
Angus MacDougal's Dagger & Dirk Scots Ale,Cascade Lakes Brewing Co.,Scottish Ale,4,5.5
Angus Og Ale,Islay Ale Co. Ltd.,English Bitter,3.5,4.5
Angus Springs Organic Brown Ale,Golden Valley Brewery and Pub,American Brown Ale,4,5
Angélus Blonde,Brasserie Brootcoorens,Belgian Strong Pale Ale,3.666666667,7
Angélus Brune,Brasserie Brootcoorens,Belgian Strong Dark Ale,3.5,7
Angélus De Noël,Brasserie D'Annoeulin,Bière de Garde,4,7.5
Angélus Spéciale Noël,Brasserie Brootcoorens,Belgian Strong Pale Ale,3.375,7
Anheuser World Lager,Anheuser-Busch,Euro Pale Lager,2.874045802,5
Anileation Stout,Lord Nelson Brewery Hotel,Irish Dry Stout,4.5,5.2
Animée Clear Beer,Coors Brewers Ltd,Euro Pale Lager,2,4
Anisocoria,Orlando Brewing Partners,American Barleywine,4.5,18
Aniversario Pao De Acucar,Cervejaria Baden Baden,German Pilsener,3,5
Anker,Feldschlösschen Beverages Group,Euro Pale Lager,2.166666667,4.8
Anker Best Christmas Wishes,Brouwerij Het Anker,Dubbel,2,8
Anker Bir,Delta Djakarta,Czech Pilsener,2.166666667,5
Anker Blond,Brouwerij Het Anker,Belgian Pale Ale,4,6.5
Anker Herfstbok,Brouwerij Het Anker,Belgian Dark Ale,4,6.5
Anker Stout,Delta Djakarta,English Stout,2.875,7.2
Ankle Biter,III Dachshunds/City Lounge,Altbier,3.6,5.2
Ankle Biter Ale '07,Broad Ripple Brew Pub,English Barleywine,4,9.8
Ankle-Buster Ale,Pelican Pub & Brewery,Belgian Pale Ale,3.818181818,5.4
Anna,Hill Farmstead Brewery,Saison / Farmhouse Ale,4.105769231,6.4
Anna Festbier,Brauerei Josef Greif,Märzen / Oktoberfest,4.25,5.5
Anna-Fest-Bier,Brauerei Wolfshöhe K. u. F. Weber GmbH & Co. KG,Märzen / Oktoberfest,4,5.7
Annabelle's India Pale Ale,Galena Brewing Company,American IPA,4.3,7.5
Annadel Pale Ale,Third Street Aleworks,English Pale Ale,3.8,5.2
Annapolis Rocks Pale Ale,Barley and Hops Grill & Microbrewery,American Pale Ale (APA),3.0625,6
Annas Red Ale,Eskilstuna Ölkultur,American Amber / Red Ale,3.25,4.7
Anne,Saint Somewhere Brewing Company,Saison / Farmhouse Ale,3,8
Anne Baillargeon,Microbrasserie de l'ile d'Orléans,Czech Pilsener,3.5,5
Anne Bonny Irish Stout,Crabby Larry's Brew Pub,Irish Dry Stout,3.5,3.9
Anne Marie's Amber,Iron Springs Pub & Brewery,American Amber / Red Ale,3.5,6
Annie Schwarz Black Lager,The Tap Brewing Company,Schwarzbier,4,5.1
Annie's Amber Ale,High Noon Saloon & Brewery,American Amber / Red Ale,3.076923077,5.5
Annihilator Doppelbock,Alcatraz Brewing Co.,Doppelbock,3.5,8.5
Annihilator Double IPA,Haymarket Pub & Brewery,American Double / Imperial IPA,3.5,7.5
Annika Blonde,Eskilstuna Ölkultur,Belgian Pale Ale,4,6.6
Anniversaire 16 Farmhouse Ale,Newport Beach Brewing Company,Tripel,3,9
Anniversary Ale,Ale Industries,American IPA,3.25,6.9
Anniversary Ale,Barley John's Brew Pub,Irish Red Ale,3.875,8.5
Anniversary Ale,Brewer's Alley Restaurant & Brewery,American Brown Ale,3.25,6
Anniversary Ale,Cambridge Brewing Company,Extra Special / Strong Bitter (ESB),4.5,4.8
Anniversary Ale,Carolina Brewery,Witbier,3.833333333,5.8
Anniversary Ale,D.L. Geary Brewing Company,English Brown Ale,4.153846154,7.6
Anniversary Ale,Davidson Brothers Restaurant & Brewery,American Strong Ale,4,8.6
Anniversary Ale,Great Adirondack Steak And Seafood Co.,American Double / Imperial IPA,4.5,10.5
Anniversary Ale,Greenport Harbor Brewing Company,Belgian Strong Pale Ale,4.25,7.2
Anniversary Ale,High Desert Brewing Company,American Double / Imperial IPA,3,7.3
Anniversary Ale,Hollister Brewing Co.,Old Ale,3.75,7.8
Anniversary Ale,Jämtlands Bryggeri AB,English Strong Ale,3,6
Anniversary Ale,"Lakefront Brewery, Inc.",American Strong Ale,2.9,9
Anniversary Ale,Mad Anthony Brewing Company,American Double / Imperial IPA,4,11
Anniversary Ale,Marzoni's Brick Oven & Brewing Company,American Barleywine,4.25,11.2
Anniversary Ale,Short's Brewing Company,Wheatwine,4.01986755,10
Anniversary Ale,Steelhead Brewing Co.,American Double / Imperial IPA,4.5,10
Anniversary Ale,The Lucky Monk,Dubbel,3.5,8
Anniversary Ale,Uncle Billy's Brew & Que,American Double / Imperial IPA,3.5,9.9
Anniversary Ale,Wynkoop Brewing Company,Märzen / Oktoberfest,2,5.5
Anniversary Ale,Zero Gravity Craft Brewery / American Flatbread,American Pale Ale (APA),4.166666667,3.8
Anniversary Ale (XV),Blue Cat Brew Pub,California Common / Steam Beer,3.75,6.8
Anniversary Ale 2003,Minneapolis Town Hall Brewery,American IPA,4.7,6.8
Anniversary Ale 2004,Minneapolis Town Hall Brewery,American Amber / Red Ale,4.5,6.8
Anniversary Ale 2006,Minneapolis Town Hall Brewery,American IPA,4.333333333,6.6
Anniversary Ale 2009,Minneapolis Town Hall Brewery,American IPA,4.1,5.6
Anniversary Ale 2010,Minneapolis Town Hall Brewery,American IPA,3.625,6.5
Anniversary Ale 2011,Minneapolis Town Hall Brewery,American IPA,4.375,6.8
Anniversary Ale XII,Rock Bottom Restaurant & Brewery,Braggot,4.25,6.2
Anniversary Ale XIII,Real Ale Brewing Company,Belgian Pale Ale,4.285714286,7
Anniversary Ale XIII,Rock Bottom Restaurant & Brewery,Braggot,4.5,8.5
Anniversary Ale XIV,Real Ale Brewing Company,American Strong Ale,3.5,8.5
Anniversary Ale XV,Real Ale Brewing Company,Russian Imperial Stout,3.964912281,9.8
Anniversary Ale--2008 ESB,Piece Brewery & Pizzeria,Extra Special / Strong Bitter (ESB),4,4.5
Anniversary Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,4,8
Anniversary Barley Wine,Uinta Brewing Company,American Barleywine,3.818661972,10.4
Anniversary Barleywine,Kutztown Tavern,American Barleywine,4,10
Anniversary Beer 'X',Rock Bottom Restaurant & Brewery,American Strong Ale,4,10
Anniversary Charlie,Rogue Ales,American Strong Ale,3.666666667,10.5
Anniversary Cream Ale,Hopworks Urban Brewery,Cream Ale,4,4.6
Anniversary Double IPA,Benelux Brewpub & Café,American Double / Imperial IPA,4.25,9
Anniversary Double IPA,Old Forge Brewing Company,American Double / Imperial IPA,4,7.5
Anniversary Ed. 1 Vesterbro IIIPA,Mikkeller ApS,American Double / Imperial IPA,4.5,11
Anniversary IPA,Intuition Ale Works,American IPA,4,7.3
Anniversary IPA,John Harvard's Brewery & Ale House,American IPA,3.5,7.1
Anniversary IPA,La Cumbre Brewing Co.,American Double / Imperial IPA,4,8.9
Anniversary Mai Bock,Appalachian Brewing Company,Maibock / Helles Bock,3.875,7.5
Anniversary Porter,Mishawaka Brewing Company,American Porter,4,6
Anniversary Schwartz Bier,Rock Bottom Restaurant & Brewery,Schwarzbier,4,5
Anniversary Tripel 2008,Minneapolis Town Hall Brewery,Tripel,3.944444444,9
Anniversary XVI,North Coast Brewing Co.,Belgian Strong Pale Ale,4.5,8.2
Anno Unum,Flossmoor Station Restaurant & Brewery,Lambic - Unblended,4.428571429,6
Anno Unum,Mike Hess Brewing,Belgian IPA,3.5,9.2
Annona,75th Street Brewery,Wheatwine,3.5,11
Anosteke,La Brasserie du Pays Flamand,Belgian IPA,3.5,8
Anosteke Brune,La Brasserie du Pays Flamand,Russian Imperial Stout,4,8.5
Another Amber,Rivertowne Pourhouse,American Amber / Red Ale,3.5,5.1
Another Thrill Imperial Porter,Renegade Brewing Company,American Porter,4.25,10
Ant Hill Red Ale,Big Bear Mountain Brewery,American Amber / Red Ale,1.7,5.5
Antagonist ESB,Barrier Brewing Company,Extra Special / Strong Bitter (ESB),4.166666667,5.8
Antarctica Chopp Claro,Antarctica (Companhia Brasileira De Bebidas),American Adjunct Lager,1.5,5
Antarctica Pilsen,Antarctica (Companhia Brasileira De Bebidas),American Adjunct Lager,2.441176471,5
Antarctica Pilsen Extra,Antarctica (Companhia Brasileira De Bebidas),American Adjunct Lager,2.5,5.5
Antares Barleywine,Antares,American Barleywine,3.428571429,10
Antares X,Antares,Belgian Strong Pale Ale,4,10
Antebellum Ale,Craggie Brewing Company,American Pale Ale (APA),3.45,5
Anthony's Brilliant Stout,Four Sons Brewery Restaurant,Irish Dry Stout,3.5,4
Anthracite Ale,Breaker Brewing Company,American Amber / Red Ale,3.75,5.5
Anti Aging Beer,Klosterbrauerei Neuzelle GmbH,Schwarzbier,3.5,4.8
Anti Ox,Port Brewing Company / Pizza Port,American Wild Ale,4.428571429,6
Anti Oxidant Acid Ale,Magic Hat Brewing Company,Flanders Red Ale,4.1,5
Anti-Freeze,Greenport Harbor Brewing Company,Old Ale,4,6.9
Anti-Hero,Revolution Brewing Company - Brewpub,American IPA,4.155172414,6.5
Anti-Matter Altbier,Blue Hills Brewery,Altbier,3.5,4.8
Anti-Matter Golden Ale,Blue Hills Brewery,American Blonde Ale,3.833333333,4.8
Anti-Matter Pale Ale,Blue Hills Brewery,American Pale Ale (APA),3.527777778,6
Anticipation,Anchorage Brewing Company,American Double / Imperial IPA,4.5,9
Antiek Blond,Brouwerij Deca Services NV,Belgian Strong Pale Ale,3.571428571,8
Antiek Bruin,Brouwerij Deca Services NV,Belgian Strong Dark Ale,3.166666667,8
Antiek Super 5 Blonde,Brouwerij Deca Services NV,Belgian Pale Ale,3.75,5
Antigoon By Robert Wiedmaier,Brouwerij De Musketiers,Belgian Pale Ale,4.108695652,6.8
Antipathy Double IPA,Haymarket Pub & Brewery,American Double / Imperial IPA,3.5,8
Antipodal Dark IPA,Equinox Brewing Company,American Black Ale,4,6.9
Antiquated IPA,21st Amendment Brewery,English India Pale Ale (IPA),5,6.5
Antique Amber Lager,Crown Valley Brewing & Distilling Co.,American Amber / Red Lager,3.305555556,5.5
Antiquity Rye Wine,Destihl Restaurant & Brew Works,English Barleywine,3.5,8.6
Antler Ale,Aksarben Brewing Co.,American Blonde Ale,2.5,5.3
Antler Ale,Big Buck Brewery & Steakhouse #1,American Amber / Red Ale,3.125,5
Antler Brown Ale,Barley Creek Brewing Company,English Brown Ale,2.906976744,4.8
Antonio's Original Garlic Pils,Brew Brothers Brewery,Fruit / Vegetable Beer,3.4,5
Antwerp Belgian,Port Brewing Company / Pizza Port,Belgian Pale Ale,3.5,8.1
Antwerps Blond,Huisbrouwerij 't Pakhuis,Belgian Pale Ale,3.5,5.1
Antwerps Bruin,Huisbrouwerij 't Pakhuis,Dubbel,4,5.5
Anubis Imperial Coffee Porter,Laughing Dog Brewing,American Porter,4,9.2
Anvil Ale,Iron Hill Brewery & Restaurant,English Bitter,3.717391304,4.3
Anvil Ale ESB,AleSmith Brewing Company,Extra Special / Strong Bitter (ESB),3.910714286,5.5
Anvil Porter,French Broad Brewing Co.,American Porter,3.738095238,6
Anvil Steam,Bluegrass Brewing Co. - East St. Matthew's,California Common / Steam Beer,3.75,5.2
Anxa El Rey,Anxanum Brewing Company,English Pale Ale,2,5.3
Anxa Golden Ale,Anxanum Brewing Company,English Pale Ale,2.5,5.6
Anxa Indian Pale Ale,Anxanum Brewing Company,English India Pale Ale (IPA),2,5.6
Any Port In A Storm Special Ale,Right Brain Brewery,American Pale Wheat Ale,4,6.3
Aoke,Hainan Asia Pacific Brewery,Euro Pale Lager,2.25,3.3
Aooni India Pale Ale,Yo-Ho Brewing Company,American IPA,3.157894737,7
Aorta Ale (Double Red Ale),Short's Brewing Company,American Amber / Red Ale,3.815789474,7.6
Aotearoa,Three Floyds Brewing Co. & Brewpub,American IPA,4.133333333,6
Apa,A Tribbiera,Belgian Strong Pale Ale,1.5,9
Apache,Summer Wine Brewery,American Pale Ale (APA),4.5,5.2
Apache Trout Stout,Mogollon Brewing Company,American Stout,4.066666667,5
Apathy,Greenbush Brewing Company,Oatmeal Stout,4,6.7
Apathy's Reward,Martha's Exchange,Belgian Strong Dark Ale,3.625,8.1
Apatinska Svetlo Pivo,Apatinska Pivara A.D.,Euro Pale Lager,2.25,4.7
Ape Ale,Blue Monkey Brewery,English India Pale Ale (IPA),4,5.4
Ape Hanger Ale,"Middle Ages Brewing Co., Ltd.",American Pale Ale (APA),3.642857143,4.7
Apehanger IPA,Montana Brewing Company,American IPA,4,6.3
Apeldoorns Stadsbier,De 3 Horne Bierbrouwerij,Belgian Pale Ale,4,6.5
Apex,Bear Republic Brewing Co.,American Double / Imperial IPA,4.211038961,7.5
Apex DIPA,Rock Bottom Restaurant & Brewery,American Double / Imperial IPA,4.75,10.4
Apfelweizen,Triumph Brewing Company,Hefeweizen,4,6.3
Aphrodisiaque,Brasserie Dieu Du Ciel,American Stout,4.222477064,6.5
Aphrodite,Deschutes Brewery,American Double / Imperial Stout,4.5,8.5
Apico,Boquébière,Braggot,3.5,16.3
Apin&#299;tis Gaiais Alus (Apinitis Pale Beer),Aldaris,Euro Pale Lager,2,4.7
Apocalypse,Le Saint-Bock Brasserie Artisanale Inc.,American Wild Ale,3,9.9
Apocalypse 5:30,District ChopHouse & Brewery,Tripel,3,9.2
Apocalypse Cow,Three Floyds Brewing Co. & Brewpub,American Double / Imperial IPA,4.178571429,11
Apocalypse IPA,10 Barrel Brewing Co.,American IPA,3.68,6.5
Apocalypso,Iron Hill Brewery & Restaurant,American IPA,3.5,7.3
Apoldaer Glockenpils,Vereinsbrauerei Apolda GmbH,German Pilsener,3.5,4.8
Apoldaer Pils Spezial Domi,Vereinsbrauerei Apolda GmbH,German Pilsener,4,5
Apollo,Sixpoint Brewery,American Pale Wheat Ale,3.961538462,5.5
Apollo (Crystallized Ginger),Sixpoint Brewery,American Pale Wheat Ale,4,5
Apollo 11,The Bier Brewery,American IPA,4,5.6
Apollo IPA,Auburn Alehouse Brewery & Restaurant,American IPA,3.5,7.1
Apollo Red Ale,Lunar Brewing,American Amber / Red Ale,3.5,6
Apollo Single Hop IPA,Hill Farmstead Brewery,English India Pale Ale (IPA),4.55,5.2
Apostel Bräu,Privatbrauerei Eichbaum GmbH & Co. KG,German Pilsener,2.735294118,4.8
Apostel Bräu Extra Strong,Privatbrauerei Eichbaum GmbH & Co. KG,Euro Strong Lager,2.6,7.9
Apostle Apple Ale,Fitger's Brewhouse,Fruit / Vegetable Beer,4,6.1
Apostulator,Privatbrauerei Eichbaum GmbH & Co. KG,Doppelbock,3.833333333,7.6
Apotheosis,Urban Chestnut Brewing Company,Saison / Farmhouse Ale,4.25,6
Appalachian Amber Ale,Thomas Creek Brewery,American Amber / Red Ale,3.372340426,5.5
Appalachian Dunkelweizen,Appalachian Brewing Company,Dunkelweizen,3.75,5.5
Appalachian Trail Extra Pale Ale,Nantahala Brewing Company,American Pale Ale (APA),4.333333333,5.8
Apparition Ale,Moon River Brewing Company,English Bitter,3.571428571,4.8
Apparition Ale Cask With Fuggles Hops,Moon River Brewing Company,English Bitter,4,4.8
Apparition Ale Cask With Sovereign Hops,Moon River Brewing Company,English Bitter,3.5,4.8
Appel Weissen,Jämtlands Bryggeri AB,Fruit / Vegetable Beer,4,5
Appenzeller Hanfblüte,Brauerei Locher AG,Herbed / Spiced Beer,3.142857143,5
Appenzeller Holzfass Bier,Brauerei Locher AG,Euro Pale Lager,3.537037037,5.2
Appenzeller Naturperle,Brauerei Locher AG,Euro Pale Lager,3.5,5.2
Appenzeller Vollmond Bier Spezial,Brauerei Locher AG,Euro Pale Lager,3,5.2
Apple Ale,Moosejaw Pizza & Dells Brewing Co.,Fruit / Vegetable Beer,2.833333333,6.3
Apple Ale,New Glarus Brewing Company,Fruit / Vegetable Beer,4.171428571,4
Apple Ale,The Tap Brewing Company,Fruit / Vegetable Beer,4,6
Apple Beer,Brewbakers Brewing,Fruit / Vegetable Beer,2.75,6
Apple Blond,Kelly's Brewpub,American Blonde Ale,4,4.3
Apple Blossom Wheat,Devils Backbone Brewing Company,American Pale Wheat Ale,3,4.5
Apple Brandy Barrel-Aged Dedication,Vintage Brewing Company,Dubbel,4.5,10
Apple Brandy Brown,McKenzie Brew House,English Brown Ale,4,5
Apple Buzz,Oaken Barrel Brewing Company,Fruit / Vegetable Beer,4.5,7
Apple Chucker,Broad Ripple Brew Pub,Fruit / Vegetable Beer,4.5,5.5
Apple Jaxx,Pisgah Brewing Co.,Fruit / Vegetable Beer,4.3,10.5
Apple Lambic,Bethlehem Brew Works,Lambic - Fruit,4.5,6
Apple Pie,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,3.75,8
Apple Saison,Cigar City Brewing,Saison / Farmhouse Ale,4,8
Apple Strudel Triple,Copper Canyon Brewery,Belgian Strong Pale Ale,4,9
Apple Tripel Ale,Otto's Pub and Brewery,Tripel,4.1875,9.5
Apple Wit,Alley Kat Brewing Company,Witbier,3.7,5.4
Applebocq,Brasserie Du Bocq,Witbier,3.222222222,3.1
Applegate Trail Pale Ale,Mia & Pia's Pizzeria And Brewhouse,American Pale Ale (APA),4,4.5
Applehead,Shipyard Brewing Co.,American Pale Wheat Ale,2.909090909,4.5
Applejack-aged Tripel,Triumph Brewing Company,Tripel,4,8.4
Appleton Brown Ale,Swans Brewpub / Buckerfield Brewery,English Brown Ale,3.666666667,5
Application IPA,McKenzie Brew House,American IPA,3.5,6.5
Appreciator Double Bock,Trout River Brewing Company,Doppelbock,4,8
ApriHop,Dogfish Head Brewery,American IPA,3.793737236,7
Apricot,Kelly's Brewpub,American Blonde Ale,2.5,4.3
Apricot Ale,C.B. & Potts,Fruit / Vegetable Beer,3.75,5
Apricot Ale,Dry Dock Brewing Co.,Fruit / Vegetable Beer,4.272727273,5.1
Apricot Ale,"Middle Ages Brewing Co., Ltd.",Fruit / Vegetable Beer,3.526315789,4.4
Apricot Ale,Red Star Brewery & Grill,Fruit / Vegetable Beer,4,5.4
Apricot Ale,River City Brewing Co.,American Blonde Ale,4,5.1
Apricot Ale,Valley Brewing Company,American Pale Wheat Ale,3.5,4
Apricot Au Poivre Saison,Nebraska Brewing Company,Saison / Farmhouse Ale,3.806451613,6.8
Apricot Cream Ale,Rivertowne Pourhouse,Fruit / Vegetable Beer,4.75,5.2
Apricot Cream Ale,Vertigo Brewing,Cream Ale,3.75,4.6
